date,description,amount,mode,bank,type,gst
2024-06-08,Electricity Bill,37032.97,Debit Card,Axis,expense,2130.79
2025-11-20,Movie Ticket,52631.65,UPI,HDFC,expense,1139.11
2025-02-09,Hotel Booking,21049.79,Debit Card,HDFC,expense,2693.46
2024-11-27,Flight Ticket,7357.69,Auto Debit,Axis,expense,1044.33
2025-05-19,Flight Ticket,72360.77,Auto Debit,SBI,expense,5425.98
2024-09-14,Electricity Bill,69222.47,UPI,ICICI,expense,1957.08
2024-11-26,Hotel Booking,84583.87,Debit Card,Kotak,expense,15042.5
2025-02-07,Netflix Subscription,5528.39,NetBanking,Kotak,expense,953.42
2024-08-07,Hotel Booking,61112.44,Credit Card,Axis,expense,6799.17
2025-10-13,Salary Credited,33316.2,Debit Card,SBI,income,3975.34
2025-03-21,Hotel Booking,32982.3,NetBanking,Axis,expense,4525.56
2025-03-19,Netflix Subscription,25264.91,Debit Card,SBI,expense,1762.75
2025-05-04,Interest Credited,93814.52,Credit Card,ICICI,income,14497.39
2025-02-09,Netflix Subscription,2110.75,NetBanking,ICICI,expense,362.71
2024-09-21,Flight Ticket,83476.17,Auto Debit,HDFC,expense,13120.06
2025-08-22,Hospital Payment,82619.75,Credit Card,Axis,expense,6460.98
2025-07-07,Hospital Payment,1371.34,Auto Debit,SBI,expense,193.02
2024-05-10,Electricity Bill,10250.61,UPI,Kotak,expense,1475.06
2025-06-26,Consulting Payment,84479.4,Debit Card,ICICI,income,10914.53
2025-01-20,Electricity Bill,85816.83,Credit Card,ICICI,expense,15162.81
2025-10-18,Grocery Shopping,55181.75,UPI,HDFC,expense,3775.37
2024-07-03,Restaurant Payment,33828.81,Debit Card,SBI,expense,5602.39
2025-11-17,Hospital Payment,64456.4,NetBanking,HDFC,expense,5493.05
2024-04-01,Gym Membership,80661.73,NetBanking,Axis,expense,13976.49
2025-01-15,Grocery Shopping,63642.78,Auto Debit,SBI,expense,10772.5
2024-10-22,Salary Credited,30009.88,Debit Card,ICICI,income,953.04
2025-07-16,Interest Credited,26921.34,Debit Card,Kotak,income,3271.33
2025-09-14,Grocery Shopping,10500.02,Credit Card,Kotak,expense,253.83
2025-11-15,Movie Ticket,98454.32,Debit Card,Axis,expense,6189.66
2024-03-21,Fuel Payment,31654.4,Debit Card,ICICI,expense,2274.23
2024-01-11,Gym Membership,6283.52,NetBanking,Kotak,expense,336.3
2024-10-22,Mutual Fund Investment,41396.79,Debit Card,ICICI,expense,4803.06
2025-10-27,Electricity Bill,56456.05,UPI,SBI,expense,3528.4
2025-06-05,Freelance Payment,18647.65,NetBanking,Axis,income,1055.8
2024-04-14,Netflix Subscription,41485.34,Auto Debit,HDFC,expense,2944.64
2025-11-11,Flight Ticket,31000.61,NetBanking,HDFC,expense,4542.16
2025-02-08,Flight Ticket,8871.72,NetBanking,ICICI,expense,643.94
2025-02-18,Gym Membership,16317.08,Debit Card,HDFC,expense,2832.66
2025-04-14,Flight Ticket,37675.33,UPI,HDFC,expense,1486.48
2025-03-11,Restaurant Payment,83013.49,UPI,SBI,expense,9699.67
2024-10-26,Hospital Payment,33385.85,Debit Card,Axis,expense,729.44
2024-12-15,Netflix Subscription,37611.45,Debit Card,HDFC,expense,6746.42
2025-08-16,Restaurant Payment,34279.09,Credit Card,ICICI,expense,2800.48
2024-03-11,Netflix Subscription,3433.1,UPI,HDFC,expense,533.29
2025-04-27,Freelance Payment,33954.8,Auto Debit,Kotak,income,1489.47
2025-05-04,Consulting Payment,97704.7,Auto Debit,Kotak,income,3424.33
2025-03-12,Mutual Fund Investment,26498.19,NetBanking,HDFC,expense,2364.04
2024-09-24,Mutual Fund Investment,69455.44,NetBanking,SBI,expense,11854.3
2024-09-09,Mutual Fund Investment,56961.02,NetBanking,HDFC,expense,10231.52
2024-10-31,Mutual Fund Investment,7358.53,Credit Card,SBI,expense,648.53
2025-08-06,Movie Ticket,81069.46,Auto Debit,HDFC,expense,2154.54
2024-10-11,Amazon Purchase,78338.05,Debit Card,Kotak,expense,2273.91
2024-06-16,Fuel Payment,48281.4,Auto Debit,SBI,expense,4099.22
2025-09-09,Movie Ticket,91490.12,Auto Debit,HDFC,expense,4254.3
2024-12-16,Consulting Payment,96260.51,Debit Card,Axis,income,7367.96
2024-07-17,Freelance Payment,92478.73,UPI,ICICI,income,11654.91
2024-10-29,Freelance Payment,23456.05,Auto Debit,SBI,income,1779.82
2024-03-19,Interest Credited,60095.46,Auto Debit,Kotak,income,1873.15
2025-05-19,Restaurant Payment,8975.18,NetBanking,HDFC,expense,834.56
2024-04-13,Movie Ticket,1594.38,UPI,Kotak,expense,254.35
2024-08-30,Mutual Fund Investment,3559.26,NetBanking,Axis,expense,387.17
2024-09-13,Freelance Payment,52909.44,Debit Card,ICICI,income,5059.82
2025-10-17,Restaurant Payment,90021.95,Credit Card,Axis,expense,9021.17
2024-08-19,Consulting Payment,18630.73,NetBanking,Kotak,income,985.02
2024-08-22,Fuel Payment,78777.32,NetBanking,HDFC,expense,5736.99
2025-01-18,Restaurant Payment,33622.54,UPI,ICICI,expense,1529.44
2025-10-20,Consulting Payment,83282.72,Auto Debit,Axis,income,14579.36
2024-02-04,Consulting Payment,81873.97,Credit Card,ICICI,income,14282.09
2024-03-28,Restaurant Payment,43898.62,NetBanking,SBI,expense,6515.47
2024-02-26,Hospital Payment,54268.17,Debit Card,ICICI,expense,3155.98
2024-08-06,Grocery Shopping,59896.04,UPI,Axis,expense,8238.11
2025-08-22,Hospital Payment,90903.85,Auto Debit,SBI,expense,6278.57
2025-10-23,Grocery Shopping,48868.39,Debit Card,Kotak,expense,1647.34
2024-04-23,Grocery Shopping,29767.16,UPI,ICICI,expense,5217.93
2025-12-01,Freelance Payment,13123.59,Credit Card,HDFC,income,568.32
2024-02-27,Hospital Payment,72672.73,Debit Card,HDFC,expense,3712.66
2025-10-09,Restaurant Payment,77104.8,Credit Card,ICICI,expense,5701.81
2025-02-19,Interest Credited,30293.67,UPI,HDFC,income,5437.51
2024-05-21,Salary Credited,98150.92,NetBanking,SBI,income,14914.56
2024-06-18,Consulting Payment,88404.27,Credit Card,SBI,income,9923.8
2025-05-07,Gym Membership,15982.3,UPI,Axis,expense,1381.33
2024-05-19,Gym Membership,88189.68,Debit Card,SBI,expense,12557.95
2024-09-06,Fuel Payment,82039.61,Credit Card,HDFC,expense,7599.96
2024-05-02,Flight Ticket,91168.69,Auto Debit,SBI,expense,13153.77
2024-10-12,Restaurant Payment,161.16,UPI,Kotak,expense,14.76
2025-03-23,Salary Credited,59935.24,NetBanking,ICICI,income,7882.27
2025-08-14,Movie Ticket,11976.5,UPI,SBI,expense,944.26
2025-01-12,Gym Membership,89626.93,Auto Debit,ICICI,expense,16065.7
2025-04-21,Amazon Purchase,79427.13,Auto Debit,Kotak,expense,14144.87
2025-01-23,Amazon Purchase,3445.02,NetBanking,HDFC,expense,187.56
2025-09-19,Movie Ticket,49800.86,UPI,SBI,expense,5177.65
2025-10-17,Flight Ticket,51248.84,Credit Card,SBI,expense,3589.89
2024-07-21,Interest Credited,21974.36,Debit Card,Axis,income,1546.56
2025-07-03,Interest Credited,66742.05,UPI,Kotak,income,10667.81
2025-05-08,Electricity Bill,98718.38,NetBanking,HDFC,expense,15388.13
2024-09-17,Mutual Fund Investment,79716.13,Credit Card,HDFC,expense,2222.13
2025-06-13,Freelance Payment,85623.92,NetBanking,Kotak,income,2607.21
2024-01-16,Grocery Shopping,99228.58,UPI,Kotak,expense,5941.93
2025-01-24,Movie Ticket,35989.24,NetBanking,Axis,expense,4508.97
2025-09-25,Gym Membership,78524.77,Auto Debit,Axis,expense,11610.17
2024-07-12,Electricity Bill,33828.86,Auto Debit,HDFC,expense,1233.31
2024-11-30,Netflix Subscription,62487.37,Credit Card,Axis,expense,9608.68
2024-09-09,Restaurant Payment,82519.38,Auto Debit,Axis,expense,4849.16
2024-09-02,Fuel Payment,54267.57,NetBanking,SBI,expense,1632.92
2024-10-04,Fuel Payment,52661.71,Debit Card,SBI,expense,3644.54
2025-05-22,Hospital Payment,92393.43,Auto Debit,HDFC,expense,8905.28
2025-11-12,Gym Membership,89740.41,Debit Card,SBI,expense,12878.87
2024-08-24,Amazon Purchase,9777.42,Credit Card,Axis,expense,573.59
2025-11-24,Hospital Payment,48490.86,Credit Card,SBI,expense,2589.91
2025-05-10,Consulting Payment,35562.47,Debit Card,Kotak,income,6122.83
2024-09-04,Netflix Subscription,33112.07,Auto Debit,Axis,expense,5422.37
2025-10-03,Gym Membership,29571.18,Credit Card,Kotak,expense,4235.65
2025-11-15,Electricity Bill,56468.14,UPI,Axis,expense,7036.22
2024-01-17,Mutual Fund Investment,16279.09,Debit Card,ICICI,expense,2916.19
2024-07-30,Consulting Payment,40512.7,UPI,HDFC,income,2659.83
2024-02-23,Restaurant Payment,62478.5,UPI,Axis,expense,5495.59
2025-06-21,Restaurant Payment,14690.83,UPI,SBI,expense,2246.07
2024-06-29,Mutual Fund Investment,16895.44,UPI,ICICI,expense,1398.91
2025-08-04,Hospital Payment,24701.63,Credit Card,ICICI,expense,2482.87
2025-10-15,Hospital Payment,44384.47,Credit Card,ICICI,expense,2224.83
2024-11-06,Hotel Booking,31483.59,Debit Card,HDFC,expense,739.94
2024-01-25,Hotel Booking,76197.57,Debit Card,SBI,expense,2932.43
2024-10-06,Movie Ticket,8331.06,Debit Card,Axis,expense,594.32
2025-11-23,Restaurant Payment,38934.57,NetBanking,ICICI,expense,4841.67
2024-08-18,Amazon Purchase,76006.01,UPI,HDFC,expense,7396.67
2025-03-09,Interest Credited,44398.54,Auto Debit,Axis,income,3544.69
2025-05-27,Salary Credited,15745.35,Debit Card,ICICI,income,2495.24
2024-09-08,Consulting Payment,75704.32,UPI,Kotak,income,12936.61
2025-09-07,Netflix Subscription,19799.35,Auto Debit,Kotak,expense,3098.34
2025-10-23,Netflix Subscription,68228.5,Debit Card,Kotak,expense,6706.18
2025-09-01,Gym Membership,95662.65,NetBanking,Axis,expense,8465.53
2025-03-04,Mutual Fund Investment,90124.31,Debit Card,Axis,expense,14348.84
2024-09-10,Hotel Booking,38816.81,Auto Debit,Kotak,expense,1423.32
2025-09-23,Restaurant Payment,32614.22,NetBanking,ICICI,expense,5327.38
2024-07-16,Restaurant Payment,41062.29,NetBanking,Kotak,expense,7216.05
2025-08-25,Consulting Payment,66535.3,NetBanking,Kotak,income,8148.17
2024-06-02,Fuel Payment,35676.35,NetBanking,Axis,expense,2374.36
2024-10-20,Interest Credited,23898.34,Auto Debit,HDFC,income,4162.35
2024-03-06,Interest Credited,32018.58,NetBanking,ICICI,income,2232.56
2024-06-24,Hotel Booking,38043.89,UPI,SBI,expense,1624.38
2025-02-10,Grocery Shopping,2430.94,Credit Card,Kotak,expense,293.24
2025-03-29,Amazon Purchase,94611.82,NetBanking,Kotak,expense,4951.58
2025-09-02,Amazon Purchase,82751.69,NetBanking,ICICI,expense,5516.68
2025-11-18,Movie Ticket,27436.53,UPI,HDFC,expense,3109.76
2024-02-12,Consulting Payment,885.87,Credit Card,Axis,income,133.41
2025-08-29,Electricity Bill,72549.39,Credit Card,ICICI,expense,2477.28
2025-11-18,Gym Membership,77696.36,UPI,ICICI,expense,3193.5
2025-05-02,Mutual Fund Investment,8419.83,Credit Card,HDFC,expense,1193.73
2025-05-04,Grocery Shopping,65803.66,Auto Debit,Kotak,expense,8390.9
2025-11-04,Gym Membership,18780.94,Debit Card,SBI,expense,2090.06
2025-10-27,Netflix Subscription,28464.62,NetBanking,SBI,expense,2856.67
2024-03-02,Electricity Bill,90716.05,NetBanking,ICICI,expense,10044.31
2025-06-19,Mutual Fund Investment,82698.84,Credit Card,Axis,expense,8032.21
2024-05-09,Hospital Payment,25990.52,Auto Debit,Axis,expense,4535.15
2024-02-04,Consulting Payment,56538.87,Debit Card,Kotak,income,4375.19
2025-07-06,Hotel Booking,46670.53,Credit Card,HDFC,expense,2664.33
2025-03-18,Hotel Booking,3516.52,Debit Card,Axis,expense,385.25
2024-01-25,Flight Ticket,81842.55,Debit Card,ICICI,expense,9747.84
2025-12-01,Grocery Shopping,27754.05,Credit Card,HDFC,expense,2529.83
2025-10-01,Gym Membership,37058.89,UPI,SBI,expense,3129.57
2024-04-21,Flight Ticket,93655.49,UPI,Kotak,expense,8394.81
2024-02-09,Gym Membership,32611.67,Credit Card,Axis,expense,1020.91
2024-07-02,Freelance Payment,85443.34,Auto Debit,HDFC,income,11434.06
2024-05-01,Mutual Fund Investment,97273.75,UPI,Kotak,expense,3158.46
2025-08-13,Consulting Payment,38055.53,Credit Card,Axis,income,6258.17
2024-05-26,Amazon Purchase,1716.92,Auto Debit,Kotak,expense,260.44
2025-11-26,Salary Credited,30933.05,UPI,HDFC,income,1500.44
2024-12-10,Restaurant Payment,97769.7,UPI,Axis,expense,7579.27
2025-10-14,Flight Ticket,43827.39,Auto Debit,SBI,expense,3328.03
2025-04-13,Interest Credited,53911.96,UPI,HDFC,income,2599.38
2024-01-14,Grocery Shopping,20167.55,Debit Card,SBI,expense,2276.06
2024-12-15,Hotel Booking,8185.31,Credit Card,SBI,expense,574.88
2025-03-03,Hospital Payment,42289.74,Auto Debit,Kotak,expense,3653.05
2025-08-14,Restaurant Payment,5447.26,Auto Debit,Kotak,expense,385.26
2024-10-26,Grocery Shopping,99243.22,Auto Debit,HDFC,expense,3068.15
2024-04-23,Consulting Payment,35919.36,UPI,ICICI,income,4718.51
2025-11-23,Netflix Subscription,47625.25,Credit Card,Axis,expense,1585.16
2025-08-31,Hotel Booking,72895.6,NetBanking,SBI,expense,9184.2
2025-01-23,Interest Credited,49525.61,Credit Card,SBI,income,4054.35
2025-04-08,Interest Credited,35161.42,NetBanking,ICICI,income,5356.7
2024-09-09,Consulting Payment,19250.49,NetBanking,HDFC,income,1183.37
2024-09-13,Salary Credited,43220.01,Auto Debit,HDFC,income,5292.22
2024-03-07,Electricity Bill,94688.26,UPI,HDFC,expense,3302.49
2024-11-03,Amazon Purchase,35482.91,Credit Card,ICICI,expense,4782.9
2025-11-04,Interest Credited,4271.02,NetBanking,Axis,income,159.09
2025-05-16,Freelance Payment,78655.91,NetBanking,ICICI,income,4544.89
2025-07-26,Interest Credited,65754.69,Debit Card,HDFC,income,10042.05
2025-05-31,Salary Credited,76300.84,Auto Debit,ICICI,income,8729.7
2024-08-31,Electricity Bill,66052.88,UPI,SBI,expense,6500.54
2024-08-20,Flight Ticket,20483.82,Credit Card,ICICI,expense,1186.58
2024-05-12,Gym Membership,62874.98,Debit Card,SBI,expense,9174.84
2024-07-06,Hotel Booking,89376.93,NetBanking,SBI,expense,7989.14
2024-10-24,Movie Ticket,14235.39,Auto Debit,ICICI,expense,523.19
2025-11-21,Fuel Payment,3888.81,NetBanking,HDFC,expense,606.03
2024-09-27,Amazon Purchase,23164.19,Debit Card,HDFC,expense,2161.18
2024-02-11,Flight Ticket,60781.82,NetBanking,SBI,expense,8868.13
2024-03-03,Interest Credited,45371.76,NetBanking,SBI,income,3219.53
2025-10-24,Freelance Payment,20790.79,Credit Card,HDFC,income,3049.25
2025-03-29,Hospital Payment,45144.8,Credit Card,SBI,expense,2827.94
2024-11-16,Hospital Payment,10445.51,Credit Card,Kotak,expense,275.18
2024-07-04,Mutual Fund Investment,7130.15,NetBanking,Kotak,expense,164.11
2024-02-12,Restaurant Payment,33287.82,NetBanking,HDFC,expense,3695.16
2025-06-11,Fuel Payment,64822.7,Auto Debit,ICICI,expense,3802.74
2025-01-15,Restaurant Payment,80506.06,Auto Debit,SBI,expense,13134.29
2025-05-24,Hospital Payment,63219.82,Credit Card,ICICI,expense,8901.19
2024-06-26,Hotel Booking,60731.77,Auto Debit,Axis,expense,10712.31
2024-05-21,Freelance Payment,77783.78,NetBanking,Kotak,income,3822.12
2024-06-15,Grocery Shopping,86410.67,UPI,SBI,expense,13419.86
2024-05-20,Grocery Shopping,20953.0,Credit Card,ICICI,expense,3219.6
2025-11-01,Movie Ticket,16813.53,Debit Card,Kotak,expense,645.58
2025-10-27,Grocery Shopping,12168.19,UPI,ICICI,expense,352.78
2024-10-09,Hotel Booking,54304.51,NetBanking,HDFC,expense,4694.96
2024-08-20,Netflix Subscription,67947.41,Debit Card,ICICI,expense,7130.43
2024-10-22,Netflix Subscription,19410.58,Credit Card,ICICI,expense,1366.79
2024-02-03,Freelance Payment,34860.62,Credit Card,SBI,income,4145.34
2024-02-25,Consulting Payment,87661.39,Credit Card,Axis,income,6229.01
2025-07-15,Netflix Subscription,91989.15,UPI,ICICI,expense,3417.49
2025-03-03,Grocery Shopping,7628.84,UPI,HDFC,expense,1341.62
2025-11-18,Hospital Payment,19013.57,UPI,Axis,expense,1678.41
2024-04-07,Consulting Payment,73082.45,NetBanking,ICICI,income,9526.08
2024-05-17,Hotel Booking,56545.72,Credit Card,Axis,expense,8711.15
2025-11-05,Freelance Payment,40518.91,UPI,SBI,income,5086.05
2025-09-17,Freelance Payment,91391.0,UPI,ICICI,income,8470.26
2025-05-28,Consulting Payment,69324.64,Credit Card,SBI,income,7221.23
2025-11-14,Netflix Subscription,26421.92,NetBanking,Axis,expense,950.89
2025-02-14,Salary Credited,9076.3,Auto Debit,Axis,income,546.51
2024-06-02,Gym Membership,26136.07,Auto Debit,ICICI,expense,4073.85
2025-07-12,Movie Ticket,89185.46,Credit Card,Kotak,expense,9847.19
2024-01-08,Flight Ticket,44421.24,UPI,ICICI,expense,3555.52
2025-08-16,Fuel Payment,23042.01,UPI,Axis,expense,2793.75
2025-05-20,Amazon Purchase,63868.9,UPI,SBI,expense,4516.88
2025-01-21,Hotel Booking,88427.25,Debit Card,Kotak,expense,7905.92
2024-09-15,Gym Membership,4390.71,Credit Card,Kotak,expense,243.17
2024-05-07,Freelance Payment,25658.08,Auto Debit,Axis,income,3262.43
2024-05-11,Consulting Payment,9677.75,UPI,HDFC,income,346.29
2024-10-07,Electricity Bill,46909.88,Credit Card,Axis,expense,1752.02
2025-10-28,Fuel Payment,97064.34,UPI,Axis,expense,3300.29
2025-04-06,Gym Membership,13998.42,NetBanking,SBI,expense,1176.36
2025-05-10,Flight Ticket,12069.12,Debit Card,Kotak,expense,784.69
2025-11-26,Mutual Fund Investment,79671.09,NetBanking,SBI,expense,11258.9
2024-01-19,Flight Ticket,15829.4,NetBanking,SBI,expense,1045.18
2024-02-19,Salary Credited,62234.37,Debit Card,HDFC,income,5218.74
2024-01-01,Salary Credited,28134.2,UPI,SBI,income,4214.05
2025-06-11,Hotel Booking,32510.9,NetBanking,SBI,expense,5498.59
2025-05-19,Mutual Fund Investment,14890.62,NetBanking,SBI,expense,482.95
2025-04-01,Salary Credited,67476.56,UPI,ICICI,income,6773.02
2025-02-11,Grocery Shopping,4576.35,UPI,HDFC,expense,749.05
2024-05-22,Electricity Bill,57077.55,NetBanking,Axis,expense,6096.05
2024-10-13,Grocery Shopping,18029.66,UPI,ICICI,expense,2372.17
2024-08-25,Flight Ticket,58576.88,UPI,SBI,expense,7094.92
2024-12-13,Hotel Booking,73613.94,Auto Debit,HDFC,expense,1812.12
2025-03-24,Freelance Payment,17596.04,Credit Card,ICICI,income,864.88
2024-02-20,Movie Ticket,91532.98,Auto Debit,Axis,expense,6514.25
2024-04-24,Fuel Payment,708.17,NetBanking,Axis,expense,86.18
2024-02-23,Fuel Payment,19606.55,Credit Card,ICICI,expense,3078.27
2025-04-30,Flight Ticket,31016.52,Auto Debit,HDFC,expense,5144.36
2024-05-27,Hotel Booking,65242.5,UPI,Axis,expense,8011.71
2024-12-19,Salary Credited,26310.08,NetBanking,Kotak,income,4654.6
2024-08-06,Hotel Booking,29504.97,UPI,SBI,expense,3329.66
2025-11-04,Restaurant Payment,42692.12,Credit Card,ICICI,expense,1178.1
2024-02-27,Electricity Bill,30419.9,NetBanking,Axis,expense,3913.32
2024-10-01,Freelance Payment,4688.28,Auto Debit,Kotak,income,821.9
2025-04-14,Movie Ticket,33198.03,Debit Card,SBI,expense,3856.86
2025-08-15,Flight Ticket,35296.57,UPI,Kotak,expense,4392.88
2025-05-31,Flight Ticket,46654.62,NetBanking,Kotak,expense,4528.98
2024-03-31,Consulting Payment,6057.17,Credit Card,ICICI,income,546.76
2025-08-22,Fuel Payment,4474.09,Debit Card,HDFC,expense,569.25
2024-11-14,Interest Credited,72669.55,Credit Card,SBI,income,2609.86
2025-07-19,Salary Credited,19979.5,UPI,ICICI,income,998.39
2025-09-25,Gym Membership,71350.33,Credit Card,Kotak,expense,11907.7
2024-01-14,Grocery Shopping,72976.95,NetBanking,Kotak,expense,12179.91
2025-08-14,Restaurant Payment,17579.98,NetBanking,SBI,expense,1301.46
2024-09-08,Grocery Shopping,15634.41,Credit Card,HDFC,expense,1084.71
2025-05-25,Hospital Payment,87934.7,Debit Card,HDFC,expense,11216.71
2025-05-27,Netflix Subscription,39965.67,Debit Card,SBI,expense,1815.08
2025-11-14,Restaurant Payment,69964.16,NetBanking,ICICI,expense,9125.68
2024-09-04,Flight Ticket,89678.45,UPI,SBI,expense,13852.89
2024-07-14,Interest Credited,11722.38,Credit Card,Kotak,income,1744.36
2025-02-27,Electricity Bill,3573.51,Credit Card,Kotak,expense,413.04
2025-04-04,Flight Ticket,96815.2,Debit Card,Axis,expense,2320.71
2024-04-15,Hospital Payment,91764.64,Auto Debit,Kotak,expense,12835.51
2024-09-22,Restaurant Payment,38528.27,Credit Card,SBI,expense,1813.18
2025-04-26,Hotel Booking,43807.64,Credit Card,HDFC,expense,5341.3
2024-01-03,Freelance Payment,1669.58,Auto Debit,HDFC,income,173.27
2025-04-23,Grocery Shopping,13295.0,Debit Card,SBI,expense,1988.68
2025-04-22,Freelance Payment,63433.69,NetBanking,HDFC,income,8937.41
2024-07-06,Netflix Subscription,72227.43,Debit Card,SBI,expense,7168.84
2024-11-12,Consulting Payment,71140.86,UPI,SBI,income,9982.27
2024-10-19,Amazon Purchase,62243.41,UPI,SBI,expense,2032.11
2024-04-21,Grocery Shopping,7110.82,Debit Card,SBI,expense,965.23
2025-07-24,Hotel Booking,55538.67,Auto Debit,HDFC,expense,9323.68
2024-08-26,Hospital Payment,69299.59,NetBanking,HDFC,expense,2853.38
2025-09-07,Interest Credited,95467.28,NetBanking,Kotak,income,10936.28
2024-09-24,Hotel Booking,46634.29,Debit Card,HDFC,expense,3144.4
2024-10-11,Amazon Purchase,40314.99,Credit Card,Axis,expense,1514.72
2024-06-28,Restaurant Payment,76513.68,UPI,HDFC,expense,5632.83
2024-07-29,Grocery Shopping,1971.75,Auto Debit,HDFC,expense,151.55
2024-09-10,Electricity Bill,60650.66,Credit Card,Kotak,expense,10350.66
2024-01-29,Amazon Purchase,77876.7,Auto Debit,ICICI,expense,9949.22
2025-11-06,Fuel Payment,42682.87,Debit Card,ICICI,expense,3576.83
2025-11-22,Mutual Fund Investment,97537.36,NetBanking,HDFC,expense,4648.34
2025-02-16,Hospital Payment,79782.52,Credit Card,Kotak,expense,8572.98
2024-08-01,Netflix Subscription,46149.51,UPI,Kotak,expense,3931.22
2024-08-20,Restaurant Payment,79423.51,Debit Card,ICICI,expense,10636.06
2024-01-15,Fuel Payment,53231.27,Debit Card,ICICI,expense,5003.51
2024-04-17,Consulting Payment,74594.65,UPI,SBI,income,8068.48
2025-04-17,Fuel Payment,29760.67,NetBanking,SBI,expense,2126.96
2024-05-31,Mutual Fund Investment,24606.66,Auto Debit,Kotak,expense,3001.26
2024-06-04,Gym Membership,10527.8,Debit Card,SBI,expense,895.17
2024-03-30,Fuel Payment,2204.38,UPI,SBI,expense,52.16
2025-05-08,Freelance Payment,8965.1,Auto Debit,SBI,income,1521.34
2025-07-26,Freelance Payment,99134.71,UPI,Kotak,income,11902.5
2024-12-24,Restaurant Payment,16524.52,NetBanking,ICICI,expense,586.16
2025-07-17,Consulting Payment,34170.13,Auto Debit,Kotak,income,1098.31
2024-10-19,Flight Ticket,14398.52,NetBanking,SBI,expense,1049.81
2024-09-23,Grocery Shopping,16115.79,Debit Card,SBI,expense,1269.1
2024-09-03,Amazon Purchase,39466.94,Auto Debit,Kotak,expense,4740.84
2024-12-28,Gym Membership,98672.61,Auto Debit,ICICI,expense,7368.72
2024-08-09,Electricity Bill,51689.84,UPI,Kotak,expense,4084.17
2024-02-18,Fuel Payment,93956.51,NetBanking,Kotak,expense,12652.18
2025-07-07,Flight Ticket,24397.47,Credit Card,HDFC,expense,1644.05
2024-12-24,Amazon Purchase,90348.04,Debit Card,HDFC,expense,10735.55
2025-02-21,Gym Membership,44309.11,NetBanking,ICICI,expense,5770.32
2025-10-25,Consulting Payment,77158.74,UPI,Kotak,income,3435.55
2024-12-18,Consulting Payment,70147.34,NetBanking,Axis,income,10471.47
2024-10-05,Netflix Subscription,46132.6,Auto Debit,Kotak,expense,6654.07
2025-06-18,Fuel Payment,65561.7,Credit Card,SBI,expense,4188.02
2025-05-08,Freelance Payment,43208.51,UPI,Axis,income,6675.16
2025-07-10,Salary Credited,24398.97,Auto Debit,Axis,income,1431.57
2025-08-24,Netflix Subscription,83134.23,UPI,HDFC,expense,4401.76
2025-01-31,Fuel Payment,83546.87,Auto Debit,HDFC,expense,14965.11
2025-08-23,Interest Credited,38720.95,Credit Card,ICICI,income,6174.15
2025-06-29,Interest Credited,66146.84,NetBanking,SBI,income,4539.99
2024-09-08,Netflix Subscription,86212.41,Auto Debit,HDFC,expense,13093.83
2024-03-02,Gym Membership,85059.45,UPI,HDFC,expense,9524.33
2024-09-02,Hospital Payment,38121.74,Credit Card,ICICI,expense,6023.57
2024-10-16,Salary Credited,24971.77,Auto Debit,SBI,income,1559.0
2025-08-22,Freelance Payment,38664.09,Auto Debit,Kotak,income,3684.53
2025-06-15,Netflix Subscription,59648.46,UPI,SBI,expense,7715.34
2024-10-01,Netflix Subscription,24208.78,NetBanking,HDFC,expense,2293.93
2024-05-27,Flight Ticket,7926.76,UPI,Kotak,expense,1383.5
2025-02-24,Freelance Payment,65499.03,Debit Card,Kotak,income,3807.21
2025-11-15,Freelance Payment,37137.83,Debit Card,SBI,income,3823.61
2024-06-17,Restaurant Payment,3251.09,UPI,Axis,expense,253.05
2024-07-05,Freelance Payment,20105.43,UPI,HDFC,income,3528.67
2025-11-23,Mutual Fund Investment,76920.98,Auto Debit,HDFC,expense,9186.27
2025-06-24,Salary Credited,85188.16,Auto Debit,SBI,income,5228.42
2024-12-07,Amazon Purchase,59789.23,UPI,SBI,expense,7663.59
2025-06-17,Hotel Booking,90406.97,NetBanking,Kotak,expense,6257.97
2025-01-24,Netflix Subscription,16474.98,Auto Debit,ICICI,expense,436.91
2025-07-13,Consulting Payment,95074.25,Credit Card,SBI,income,10617.95
2024-12-23,Restaurant Payment,36448.3,Auto Debit,Axis,expense,5270.47
2025-03-14,Interest Credited,13154.83,NetBanking,Axis,income,1299.73
2025-10-31,Fuel Payment,3169.07,UPI,ICICI,expense,566.35
2024-08-30,Hotel Booking,44697.84,Auto Debit,HDFC,expense,4138.31
2025-03-26,Mutual Fund Investment,42604.13,Auto Debit,Axis,expense,5248.57
2024-04-08,Fuel Payment,28768.94,UPI,Axis,expense,1929.23
2024-06-17,Hospital Payment,10258.0,Auto Debit,Axis,expense,1346.16
2024-01-26,Restaurant Payment,90313.37,UPI,HDFC,expense,16184.85
2025-11-09,Netflix Subscription,52631.71,Debit Card,Axis,expense,2308.39
2025-11-23,Interest Credited,33656.54,UPI,SBI,income,1710.43
2025-03-09,Gym Membership,34262.15,Credit Card,Kotak,expense,2118.26
2025-07-22,Gym Membership,38544.57,Debit Card,ICICI,expense,2028.08
2024-08-08,Electricity Bill,61529.12,Credit Card,ICICI,expense,6360.11
2024-02-28,Consulting Payment,6169.99,Credit Card,SBI,income,170.74
2025-03-18,Netflix Subscription,88165.74,Credit Card,Kotak,expense,5712.39
